ABDALA, Josefina,Union Cívica Radical,Mendoza,AFIRMATIVO
ACUÑA KUNZ, Juan,Union Cívica Radical,Santa Cruz,AFIRMATIVO
ACUÑA, Hugo Rodolfo,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
AGUAD, Oscar Raul,Union Cívica Radical,Córdoba,AFIRMATIVO
AUGSBURGER, Silvia,Partido Socialista,Santa Fe,AFIRMATIVO
BAYONZO, Liliana Amelia,Union Cívica Radical,Chaco,AFIRMATIVO
BECCANI, Alberto Juan,Union Cívica Radical,Santa Fe,AFIRMATIVO
BERTOL, Paula,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
BINNER, Hermes,Partido Socialista,Santa Fe,AFIRMATIVO
BISUTTI, Delia Beatriz,A.R.I,Cdad. Aut. Bs. As.,AFIRMATIVO
BORSANI, Luis Gustavo,Union Cívica Radical,Mendoza,AFIRMATIVO
BRILLO, José,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
BULLRICH, Esteban,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
CAMAÑO, Eduardo Oscar,Justicialista Nacional,Buenos Aires,AFIRMATIVO
CASSESE, Marina,Justicialista Nacional,Buenos Aires,AFIRMATIVO
CHIRONI, Fernando Gustavo,Union Cívica Radical,Rio Negro,AFIRMATIVO
COLLANTES, Genaro,Frente Cívico Social,Catamarca,AFIRMATIVO
COMELLI, Alicia Marcela,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
CUEVAS, Hugo Oscar,Union Cívica Radical,Rio Negro,AFIRMATIVO
DELICH, Francisco,Partido Nuevo Contra la Corrupción,Córdoba,AFIRMATIVO
DOGA, María Nélida,Justicialista Nacional,Buenos Aires,AFIRMATIVO
FERRI, Gustavo Enrique,Justicialista Nacional,Buenos Aires,AFIRMATIVO
GALVALISI, Luis Alberto,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
GARCIA MENDEZ, Emilio,A.R.I,Cdad. Aut. Bs. As.,AFIRMATIVO
GARCIA, Susana Rosa,A.R.I,Santa Fe,AFIRMATIVO
GARIN de TULA, Lucia,Union Cívica Radical,Catamarca,AFIRMATIVO
GIACOMINO, Daniel,Partido Nuevo Contra la Corrupción,Córdoba,AFIRMATIVO
GINZBURG, Nora,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
GIUBERGIA, Miguel Angel,Union Cívica Radical,Jujuy,AFIRMATIVO
GODOY, Juan Carlos,Concertación Entrerriana,Entre Ríos,AFIRMATIVO
GONZALEZ, María América,A.R.I,Cdad. Aut. Bs. As.,AFIRMATIVO
GORBACZ, Leonardo Ariel,A.R.I,Tierra del Fuego,AFIRMATIVO
HERNANDEZ, Cinthya Gabriela,Union Cívica Radical,Rio Negro,AFIRMATIVO
IGLESIAS, Roberto Raul,Union Cívica Radical,Mendoza,AFIRMATIVO
JEREZ, Esteban Eduardo,Propuesta Republicana,Tucumán,AFIRMATIVO
KRONEBERGER, Daniel,Union Cívica Radical,La Pampa,AFIRMATIVO
LEYBA de MARTI, Beatriz,Union Cívica Radical,Córdoba,AFIRMATIVO
LIX KLETT, Roberto Ignacio,Fuerza Republicana,Tucumán,AFIRMATIVO
LOZANO, Claudio Raúl,Emancipación y Justicia,Cdad. Aut. Bs. As.,AFIRMATIVO
MACALUSE, Eduardo Gabriel,A.R.I,Buenos Aires,AFIRMATIVO
MANSUR, Nélida Mabel,Partido Unidad Federalista,Buenos Aires,AFIRMATIVO
MARTINEZ, Julio Cesar,Union Cívica Radical,La Rioja,AFIRMATIVO
MARTINI, Hugo,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
MONTENEGRO, Olinda,Union Cívica Radical,Chaco,AFIRMATIVO
MONTI, Lucrecia Etelvina,Peronista Federal,Cdad. Aut. Bs. As.,AFIRMATIVO
MORINI, Pedro Juan,Union Cívica Radical,Santa Fe,AFIRMATIVO
NAIM, Lidia Lucia,A.R.I,Buenos Aires,AFIRMATIVO
NIEVA, Alejandro Mario,Union Cívica Radical,Jujuy,AFIRMATIVO
PEREZ, José Adrián,A.R.I,Buenos Aires,AFIRMATIVO
PESO, Stella Marys,Justicialista Nacional,Misiones,AFIRMATIVO
PINEDO, Federico,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
QUIROZ, Elsa Siria,A.R.I,Buenos Aires,AFIRMATIVO
RIOS, María Fabiana,A.R.I,Tierra del Fuego,AFIRMATIVO
RODRIGUEZ, Marcela Virginia,A.R.I,Buenos Aires,AFIRMATIVO
SESMA, Laura Judith,Partido Socialista,Córdoba,AFIRMATIVO
STORERO, Hugo,Union Cívica Radical,Santa Fe,AFIRMATIVO
TATE, Alicia Ester,Union Cívica Radical,Santa Fe,AFIRMATIVO
TINNIRELLO, Carlos Alberto,Red de Encuentro Social,Cdad. Aut. Bs. As.,AFIRMATIVO
TOMAZ, Adriana Elisa,Partido Unidad Federalista,Buenos Aires,AFIRMATIVO
VANOSSI, Jorge,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
ZANCADA, Pablo,Partido Socialista,Santa Fe,AFIRMATIVO
ZOTTOS, Miguel Andrés Costas,Renovador de Salta,Salta,AFIRMATIVO
ACCASTELLO, Eduardo,Frente para la Victoria - PJ,Córdoba,NEGATIVO
