ACUÑA, Hugo Rodolfo,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
ALBRISI, Cesar Alfredo,Frente Justicia Unión y Libertad,Córdoba,AFIRMATIVO
ALCUAZ, Horacio,Coalición Cívica - ARI - GEN - UPT,Buenos Aires,AFIRMATIVO
ALVARO, Hector Jorge,De la Concertación,Mendoza,AFIRMATIVO
AMENTA, Marcelo Eduardo,Propuesta Republicana,Buenos Aires,AFIRMATIVO
ARETA, María Josefa,Frente de Todos,Corrientes,AFIRMATIVO
AZCOITI, Pedro José,Union Cívica Radical,Buenos Aires,AFIRMATIVO
BALDATA, Griselda,Coalición Cívica - ARI - GEN - UPT,Córdoba,AFIRMATIVO
BARAGIOLA, Vilma Rosana,Union Cívica Radical,Buenos Aires,AFIRMATIVO
BAYONZO, Liliana Amelia,Union Cívica Radical,Chaco,AFIRMATIVO
BENAS, Verónica Claudia,A.R.I Autónomo 8 +,Santa Fe,AFIRMATIVO
BERTOL, Paula,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
BISUTTI, Delia Beatriz,A.R.I Autónomo 8 +,Cdad. Aut. Bs. As.,AFIRMATIVO
BULLRICH, Patricia,Coalición Cívica - ARI - GEN - UPT,Cdad. Aut. Bs. As.,AFIRMATIVO
CAMAÑO, Dante,Nacional Sindical,Buenos Aires,AFIRMATIVO
CARCA, Elisa Beatriz,Coalición Cívica - ARI - GEN - UPT,Buenos Aires,AFIRMATIVO
CUCCOVILLO, Ricardo Oscar,Partido Socialista,Buenos Aires,AFIRMATIVO
CUEVAS, Hugo Oscar,De la Concertación,Rio Negro,AFIRMATIVO
CUSINATO, José César,Union Cívica Radical,Entre Ríos,AFIRMATIVO
DE MARCHI, Omar,Demócrata de Mendoza,Mendoza,AFIRMATIVO
DE NARVAEZ, Francisco,Unión Celeste y Blanca,Buenos Aires,AFIRMATIVO
FABRIS, Luciano,Union Cívica Radical,Chaco,AFIRMATIVO
FEIN, Mónica,Partido Socialista,Santa Fe,AFIRMATIVO
FERRO, Francisco José,Coalición Cívica - ARI - GEN - UPT,Buenos Aires,AFIRMATIVO
FLORES, Héctor,Coalición Cívica - ARI - GEN - UPT,Buenos Aires,AFIRMATIVO
GARCIA, Susana Rosa,Coalición Cívica - ARI - GEN - UPT,Santa Fe,AFIRMATIVO
GEREZ, Elda Ramona,Partido Socialista,Santa Fe,AFIRMATIVO
GINZBURG, Nora,Recrear para el Crecimiento,Cdad. Aut. Bs. As.,AFIRMATIVO
GIUBERGIA, Miguel Angel,Union Cívica Radical,Jujuy,AFIRMATIVO
GONZALEZ, María América,A.R.I Autónomo 8 +,Cdad. Aut. Bs. As.,AFIRMATIVO
GORBACZ, Leonardo Ariel,A.R.I Autónomo 8 +,Tierra del Fuego,AFIRMATIVO
GRIBAUDO, Christian Alejandro,Propuesta Republicana,Buenos Aires,AFIRMATIVO
HOTTON, Cynthia,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
IGLESIAS, Fernando Adolfo,Coalición Cívica - ARI - GEN - UPT,Cdad. Aut. Bs. As.,AFIRMATIVO
KRONEBERGER, Daniel,Union Cívica Radical,La Pampa,AFIRMATIVO
LANCETA, Rubén,Union Cívica Radical,Buenos Aires,AFIRMATIVO
LEMOS, Silvia,Union Cívica Radical,Mendoza,AFIRMATIVO
LINARES, María Virginia,Coalición Cívica - ARI - GEN - UPT,Buenos Aires,AFIRMATIVO
LUSQUIÑOS, Luis Bernardo,Frente Justicia Unión y Libertad,San Luis,AFIRMATIVO
MACALUSE, Eduardo Gabriel,A.R.I Autónomo 8 +,Buenos Aires,AFIRMATIVO
MARTIN, María Elena,Partido Socialista,Santa Fe,AFIRMATIVO
MORINI, Pedro Juan,Union Cívica Radical,Santa Fe,AFIRMATIVO
NAIM, Lidia Lucia,A.R.I Autónomo 8 +,Buenos Aires,AFIRMATIVO
NIEVA, Alejandro Mario,Union Cívica Radical,Jujuy,AFIRMATIVO
OBIGLIO, Julián Martín,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
PERALTA, Fabián,Coalición Cívica - ARI - GEN - UPT,Santa Fe,AFIRMATIVO
PEREZ, José Adrián,Coalición Cívica - ARI - GEN - UPT,Buenos Aires,AFIRMATIVO
QUIROZ, Elsa Siria,Coalición Cívica - ARI - GEN - UPT,Buenos Aires,AFIRMATIVO
RAIMUNDI, Carlos Alberto,A.R.I Autónomo 8 +,Buenos Aires,AFIRMATIVO
RIOBOO, Sandra,Union Cívica Radical,Buenos Aires,AFIRMATIVO
SANCHEZ, Fernando,Coalición Cívica - ARI - GEN - UPT,Cdad. Aut. Bs. As.,AFIRMATIVO
SARGHINI, Jorge Emilio,Justicialista Nacional,Buenos Aires,AFIRMATIVO
SATRAGNO, Lidia,Propuesta Republicana,Buenos Aires,AFIRMATIVO
STORNI, Silvia,Union Cívica Radical,Córdoba,AFIRMATIVO
TOMAZ, Adriana Elisa,Partido Unidad Federalista,Buenos Aires,AFIRMATIVO
URLICH, Carlos,Union Cívica Radical,Chaco,AFIRMATIVO
VIALE, Lisandro,Partido Socialista,Entre Ríos,AFIRMATIVO
ACOSTA de AHUMADA, María Julia,Frente para la Victoria - PJ,Catamarca,NEGATIVO
AGUIRRE de SORIA, Hilda,Frente para la Victoria - PJ,La Rioja,NEGATIVO
ARGÜELLO, Octavio,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
ARRIAGA, Julio Esteban,Frente para la Victoria - PJ,Rio Negro,NEGATIVO
BALADRON, Manuel Justo,Frente para la Victoria - PJ,La Pampa,NEGATIVO
BASTEIRO, Sergio Ariel,Encuentro Popular y Social,Buenos Aires,NEGATIVO
BERNAZZA, Claudia Alicia,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
BERRAUTE, Ana,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
BERTONE, Rosana Andrea,Frente para la Victoria - PJ,Tierra del Fuego,NEGATIVO
BRUE, Daniel Agustín,Frente Cívico por Santiago,Santiago del Estero,NEGATIVO
CALCHAQUI, María Adela,Frente para la Victoria - PJ,Tierra del Fuego,NEGATIVO
CANELA, Susana Mercedes,Frente para la Victoria - PJ,Salta,NEGATIVO
CANTERO GUTIERREZ, Alberto,Frente para la Victoria - PJ,Córdoba,NEGATIVO
CARMONA, María Araceli,Frente para la Victoria - PJ,Corrientes,NEGATIVO
CASELLES, Graciela María,Frente para la Victoria - PJ,San Juan,NEGATIVO
CEJAS, Jorge Alberto,Frente para la Victoria - PJ,Rio Negro,NEGATIVO
CIGOGNA, Luis Francisco Jorge,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
CONTI, Diana Beatriz,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
CORDOBA, José Manuel,Frente para la Victoria - PJ,Santa Cruz,NEGATIVO
CORDOBA, Stella Maris,Frente para la Victoria - PJ,Tucumán,NEGATIVO
COSCIA, Jorge Edmundo,Frente para la Victoria - PJ,Cdad. Aut. Bs. As.,NEGATIVO
DAHER, Zulema Beatríz,Frente para la Victoria - PJ,Salta,NEGATIVO
DALLA FONTANA, Ariel,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
DATO, Alfredo,Frente para la Victoria - PJ,Tucumán,NEGATIVO
DE LA ROSA, Maria Graciela,Frente para la Victoria - PJ,Formosa,NEGATIVO
di TULLIO, Juliana,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
DIAZ BANCALARI, José María,Peronista Federal,Buenos Aires,NEGATIVO
DIAZ ROIG, Juan Carlos,Frente para la Victoria - PJ,Formosa,NEGATIVO
DIAZ, Susana Eladia,Frente para la Victoria - PJ,Tucumán,NEGATIVO
DOVENA, Miguel Dante,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
ERRO, Norberto Pedro,De la Concertación,Buenos Aires,NEGATIVO
FADEL, Patricia Susana,Frente para la Victoria - PJ,Mendoza,NEGATIVO
FERNANDEZ BASUALDO, Luis María,Frente para la Victoria - PJ,Formosa,NEGATIVO
FERNANDEZ, Marcelo Omar,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
FERRA DE BARTOL, Margarita,Frente para la Victoria - PJ,San Juan,NEGATIVO
FIOL, Paulina Esther,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
GALANTINI, Eduardo,Frente para la Victoria - PJ,Corrientes,NEGATIVO
GARCIA, Irma Adriana,Frente para la Victoria - PJ,La Pampa,NEGATIVO
GARCIA, Maria Teresa,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
GENEM, Susana Amanda,Frente para la Victoria - PJ,Mendoza,NEGATIVO
GIANNETTASIO, Graciela Maria,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
GIOJA, Juan Carlos,Frente para la Victoria - PJ,San Juan,NEGATIVO
GODOY, Ruperto Eduardo,Frente para la Victoria - PJ,San Juan,NEGATIVO
GONZALEZ, Juan Dante,Frente para la Victoria - PJ,Mendoza,NEGATIVO
GONZALEZ, Nancy Susana,Frente para la Victoria - PJ,Chubut,NEGATIVO
GULLO, Juan Carlos Dante,Frente para la Victoria - PJ,Cdad. Aut. Bs. As.,NEGATIVO
HALAK, Beatriz,Frente para la Victoria - PJ,Córdoba,NEGATIVO
HERRERA, Griselda Noemí,Frente para la Victoria - PJ,La Rioja,NEGATIVO
HERRERA, José Alberto,Frente Cívico por Santiago,Santiago del Estero,NEGATIVO
ILARREGUI, Luis Alfredo,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
IRRAZABAL, Juan Manuel,Frente para la Victoria - PJ,Misiones,NEGATIVO
ITURRIETA, Miguel Angel,Frente para la Victoria - PJ,Misiones,NEGATIVO
KORENFELD, Liliana,Frente para la Victoria - PJ,Santa Cruz,NEGATIVO
KUNKEL, Carlos Miguel,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
LANDAU, Jorge Alberto,Peronista Federal,Buenos Aires,NEGATIVO
LEGUIZAMON, María Laura,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
LEVERBERG, Stella Maris,Frente para la Victoria - PJ,Misiones,NEGATIVO
LLERA, Timoteo,Frente para la Victoria - PJ,Misiones,NEGATIVO
LOPEZ ARIAS, Marcelo Eduardo,Frente para la Victoria - PJ,Salta,NEGATIVO
LOPEZ, Ernesto Segundo,Frente para la Victoria - PJ,San Juan,NEGATIVO
LOPEZ, Rafael,Frente para la Victoria - PJ,Formosa,NEGATIVO
LORENZO BOROCOTO, Eduardo,Movimiento Independiente,Cdad. Aut. Bs. As.,NEGATIVO
LUNA de MARCOS, Ana Zulema,Frente Cívico por Santiago,Santiago del Estero,NEGATIVO
MARCO DEL PONT, Mercedes,Frente para la Victoria - PJ,Cdad. Aut. Bs. As.,NEGATIVO
MARCONATO, Gustavo Angel,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
MARINO, Adriana del Carmen,Frente Producción y Trabajo,San Juan,NEGATIVO
MARTIARENA, Mario Humberto,Frente para la Victoria - PJ,Jujuy,NEGATIVO
MASSEI, Oscar Ermelindo,Frente para la Victoria - PJ,Neuquén,NEGATIVO
MONTOYA, Jorge Luciano,Frente para la Victoria - PJ,Córdoba,NEGATIVO
MORANTE, Antonio,Frente para la Victoria - PJ,Chaco,NEGATIVO
MOREJON, Manuel Amor,Frente para la Victoria - PJ,Chubut,NEGATIVO
MORENO, Carlos Julio,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
MORGADO, Claudio,Frente para la Victoria - PJ,Cdad. Aut. Bs. As.,NEGATIVO
MULLER, Mabel Hilda,Peronista Federal,Buenos Aires,NEGATIVO
OBEID, Jorge Alberto,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
OLIVA, Cristian,Frente Cívico por Santiago,Santiago del Estero,NEGATIVO
OSORIO, Marta Lucia,Frente para la Victoria - PJ,La Pampa,NEGATIVO
PAIS, Juan Mario,Frente para la Victoria - PJ,Chubut,NEGATIVO
PASINI, Ariel,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
PASTORIZA, Mirta,Frente Cívico por Santiago,Santiago del Estero,NEGATIVO
PEREZ, Jorge Raúl,Frente Cívico por Santiago,Santiago del Estero,NEGATIVO
PERIE, Julia Argentina,Frente para la Victoria - PJ,Misiones,NEGATIVO
PORTO, Héctor Norberto,Peronista Federal,Buenos Aires,NEGATIVO
RECALDE, Héctor Pedro,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
REJAL, Fernando,Frente para la Victoria - PJ,La Rioja,NEGATIVO
RICO, María del Carmen Cecilia,Peronista Federal,Buenos Aires,NEGATIVO
RODRIGUEZ, Evaristo Arturo,Frente para la Victoria - PJ,Santa Cruz,NEGATIVO
ROJKES, Beatriz,Frente para la Victoria - PJ,Tucumán,NEGATIVO
ROMAN, Carmen,Frente para la Victoria - PJ,Formosa,NEGATIVO
ROSSI, Agustín Oscar,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
ROSSI, Alejandro Luis,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
ROSSI, Cipriana Lorena,Frente para la Victoria - PJ,Rio Negro,NEGATIVO
